cohort_month,cohort_size,period_number,retained_customers,retention_rate_pct
2016-03,17,4,1,5.88
2016-03,17,5,1,5.88
2016-03,17,6,3,17.65
2016-03,17,7,1,5.88
2016-03,17,8,2,11.76
2016-03,17,9,1,5.88
2016-03,17,10,1,5.88
2016-03,17,11,2,11.76
2016-03,17,12,1,5.88
2016-04,12,0,12,100.0
2016-04,12,3,1,8.33
2016-04,12,5,1,8.33
2016-04,12,6,2,16.67
2016-04,12,7,2,16.67
2016-04,12,10,1,8.33
2016-05,12,0,12,100.0
2016-05,12,3,1,8.33
2016-05,12,4,2,16.67
2016-05,12,6,2,16.67
2016-05,12,7,2,16.67
2016-05,12,8,1,8.33
2016-05,12,9,1,8.33
2016-05,12,10,3,25.0
2016-05,12,11,2,16.67
2016-05,12,12,1,8.33
2016-06,12,0,12,100.0
2016-06,12,1,1,8.33
2016-06,12,2,1,8.33
2016-06,12,3,4,33.33
2016-06,12,4,1,8.33
2016-06,12,5,3,25.0
2016-06,12,6,2,16.67
2016-06,12,8,1,8.33
2016-06,12,9,3,25.0
2016-06,12,10,1,8.33
2016-06,12,12,5,41.67
2016-07,8,0,8,100.0
2016-07,8,3,2,25.0
2016-07,8,4,3,37.5
2016-07,8,5,1,12.5
2016-07,8,7,2,25.0
2016-07,8,11,1,12.5
2016-07,8,12,1,12.5
2016-08,13,0,13,100.0
2016-08,13,1,3,23.08
2016-08,13,2,1,7.69
2016-08,13,3,2,15.38
2016-08,13,4,4,30.77
2016-08,13,9,1,7.69
2016-08,13,10,2,15.38
2016-08,13,11,1,7.69
2016-09,17,0,17,100.0
2016-09,17,1,2,11.76
2016-09,17,2,4,23.53
2016-09,17,3,1,5.88
2016-09,17,4,4,23.53
2016-09,17,5,1,5.88
2016-09,17,6,3,17.65
2016-09,17,7,2,11.76
2016-09,17,8,1,5.88
2016-09,17,10,1,5.88
2016-09,17,11,6,35.29
2016-09,17,12,4,23.53
2016-10,10,0,10,100.0
2016-10,10,2,4,40.0
2016-10,10,5,1,10.0
2016-10,10,7,1,10.0
2016-10,10,9,1,10.0
2016-10,10,11,2,20.0
2016-11,11,0,11,100.0
2016-11,11,1,1,9.09
2016-11,11,2,1,9.09
2016-11,11,6,1,9.09
2016-11,11,7,1,9.09
2016-11,11,8,2,18.18
2016-11,11,9,2,18.18
2016-11,11,10,1,9.09
2016-11,11,11,2,18.18
2016-11,11,12,2,18.18
2016-12,13,0,13,100.0
2016-12,13,1,1,7.69
2016-12,13,3,1,7.69
2016-12,13,4,2,15.38
2016-12,13,5,2,15.38
2016-12,13,7,3,23.08
2016-12,13,8,1,7.69
2016-12,13,9,3,23.08
2016-12,13,10,2,15.38
2016-12,13,11,2,15.38
2016-12,13,12,1,7.69
2017-01,6,0,6,100.0
2017-01,6,1,1,16.67
2017-01,6,3,1,16.67
2017-01,6,5,1,16.67
2017-01,6,6,1,16.67
2017-01,6,7,1,16.67
2017-01,6,9,1,16.67
2017-01,6,10,1,16.67
2017-02,2,0,2,100.0
2017-02,2,2,1,50.0
2017-02,2,8,1,50.0
2017-02,2,9,1,50.0
2017-02,2,11,1,50.0
2017-03,6,0,6,100.0
2017-03,6,2,3,50.0
2017-03,6,4,3,50.0
2017-03,6,6,1,16.67
2017-03,6,7,1,16.67
2017-03,6,8,1,16.67
2017-03,6,9,1,16.67
2017-03,6,10,3,50.0
2017-03,6,11,1,16.67
2017-03,6,12,1,16.67
2017-04,8,0,8,100.0
2017-04,8,1,2,25.0
2017-04,8,3,1,12.5
2017-04,8,4,2,25.0
2017-04,8,5,4,50.0
2017-04,8,7,1,12.5
2017-04,8,9,2,25.0
2017-04,8,11,2,25.0
2017-04,8,12,1,12.5
2017-05,7,0,7,100.0
2017-05,7,2,1,14.29
2017-05,7,3,2,28.57
2017-05,7,4,1,14.29
2017-05,7,5,1,14.29
2017-05,7,6,2,28.57
2017-05,7,7,1,14.29
2017-05,7,8,2,28.57
2017-05,7,9,1,14.29
2017-05,7,10,2,28.57
2017-05,7,11,1,14.29
2017-05,7,12,1,14.29
2017-06,7,0,7,100.0
2017-06,7,1,1,14.29
2017-06,7,2,2,28.57
2017-06,7,3,2,28.57
2017-06,7,5,1,14.29
2017-06,7,6,1,14.29
2017-06,7,9,1,14.29
2017-06,7,12,1,14.29
2017-07,2,0,2,100.0
2017-07,2,9,1,50.0
2017-08,4,0,4,100.0
2017-08,4,5,1,25.0
2017-08,4,7,1,25.0
2017-08,4,8,2,50.0
2017-08,4,9,2,50.0
2017-08,4,10,1,25.0
2017-09,1,0,1,100.0
2017-09,1,1,1,100.0
2017-09,1,4,1,100.0
2017-09,1,6,1,100.0
2017-09,1,12,1,100.0
2017-10,1,0,1,100.0
2017-10,1,2,1,100.0
2017-10,1,10,1,100.0
2017-10,1,11,1,100.0
2017-10,1,12,1,100.0
2017-11,6,0,6,100.0
2017-11,6,2,1,16.67
2017-11,6,4,1,16.67
2017-11,6,5,1,16.67
2017-11,6,11,1,16.67
2017-11,6,12,2,33.33
2017-12,2,0,2,100.0
2017-12,2,10,1,50.0
2017-12,2,12,1,50.0
2018-03,3,0,3,100.0
2018-03,3,3,1,33.33
2018-03,3,4,1,33.33
2018-03,3,5,1,33.33
2018-03,3,7,1,33.33
2018-04,1,0,1,100.0
2018-06,1,0,1,100.0
2018-06,1,6,1,100.0
2018-07,2,0,2,100.0
2018-07,2,5,1,50.0
2018-09,1,0,1,100.0
2018-10,2,0,2,100.0
2018-11,1,0,1,100.0
